"Year","Dam","MedianPassage","Species","MeanMayTemp","arr_GAM_mean"
2008,"Rock Island",141,"Steelhead",9.6043068640646,NA
2009,"Rock Island",141,"Steelhead",9.28921161825726,NA
2010,"Rock Island",141,"Steelhead",9.46209239130435,122.17
2011,"Rock Island",143,"Steelhead",9.10282258064516,123.123333333333
2012,"Rock Island",131,"Steelhead",10.0055181695828,116.028666666667
2013,"Rock Island",136,"Steelhead",10.340620782726,118.798
2014,"Rock Island",137,"Steelhead",10.3283149171271,153.777
2015,"Rock Island",138,"Steelhead",11.6495956873315,165.573666666667
2016,"Rock Island",129,"Steelhead",12.4775978407557,131.405333333333
2017,"Rock Island",133,"Steelhead",10.0482866043614,157.179
2018,"Rock Island",129,"Steelhead",11.0234398782344,119.141333333333
2019,"Rock Island",134,"Steelhead",9.97770800627944,125.166333333333
2020,"Rock Island",137,"Steelhead",10.1623149394347,141.014333333333
2021,"Rock Island",132,"Steelhead",10.0986541049798,136.743666666667
2000,"Rock Island",197,"Subyearling Chinook",10.476198630137,NA
2001,"Rock Island",196,"Subyearling Chinook",10.752641509434,NA
2002,"Rock Island",194,"Subyearling Chinook",9.69794520547945,NA
2003,"Rock Island",189,"Subyearling Chinook",9.58372434017595,NA
2004,"Rock Island",185,"Subyearling Chinook",10.593098782138,NA
2005,"Rock Island",180,"Subyearling Chinook",10.51644245142,NA
2006,"Rock Island",186,"Subyearling Chinook",10.5612055641422,NA
2007,"Rock Island",196,"Subyearling Chinook",9.54159292035398,NA
2008,"Rock Island",190,"Subyearling Chinook",9.6043068640646,NA
2009,"Rock Island",192,"Subyearling Chinook",9.28921161825726,NA
2010,"Rock Island",196,"Subyearling Chinook",9.46209239130435,122.17
2011,"Rock Island",188,"Subyearling Chinook",9.10282258064516,123.123333333333
2012,"Rock Island",194,"Subyearling Chinook",10.0055181695828,116.028666666667
2013,"Rock Island",190,"Subyearling Chinook",10.340620782726,118.798
2014,"Rock Island",186,"Subyearling Chinook",10.3283149171271,153.777
2015,"Rock Island",171,"Subyearling Chinook",11.6495956873315,165.573666666667
2016,"Rock Island",165,"Subyearling Chinook",12.4775978407557,131.405333333333
2017,"Rock Island",174,"Subyearling Chinook",10.0482866043614,157.179
2018,"Rock Island",167,"Subyearling Chinook",11.0234398782344,119.141333333333
2019,"Rock Island",179,"Subyearling Chinook",9.97770800627944,125.166333333333
2020,"Rock Island",170,"Subyearling Chinook",10.1623149394347,141.014333333333
2021,"Rock Island",171,"Subyearling Chinook",10.0986541049798,136.743666666667
2000,"Rock Island",135,"Yearling Chinook",10.476198630137,NA
2001,"Rock Island",126,"Yearling Chinook",10.752641509434,NA
2002,"Rock Island",135,"Yearling Chinook",9.69794520547945,NA
2003,"Rock Island",128,"Yearling Chinook",9.58372434017595,NA
2004,"Rock Island",128,"Yearling Chinook",10.593098782138,NA
2005,"Rock Island",130,"Yearling Chinook",10.51644245142,NA
2006,"Rock Island",125,"Yearling Chinook",10.5612055641422,NA
2007,"Rock Island",136,"Yearling Chinook",9.54159292035398,NA
2008,"Rock Island",143,"Yearling Chinook",9.6043068640646,NA
2009,"Rock Island",134,"Yearling Chinook",9.28921161825726,NA
2010,"Rock Island",134,"Yearling Chinook",9.46209239130435,122.17
2011,"Rock Island",133,"Yearling Chinook",9.10282258064516,123.123333333333
2012,"Rock Island",128,"Yearling Chinook",10.0055181695828,116.028666666667
2013,"Rock Island",134,"Yearling Chinook",10.340620782726,118.798
2014,"Rock Island",131,"Yearling Chinook",10.3283149171271,153.777
2015,"Rock Island",125,"Yearling Chinook",11.6495956873315,165.573666666667
2016,"Rock Island",122,"Yearling Chinook",12.4775978407557,131.405333333333
2017,"Rock Island",124,"Yearling Chinook",10.0482866043614,157.179
2018,"Rock Island",126,"Yearling Chinook",11.0234398782344,119.141333333333
2019,"Rock Island",130,"Yearling Chinook",9.97770800627944,125.166333333333
2020,"Rock Island",132,"Yearling Chinook",10.1623149394347,141.014333333333
2021,"Rock Island",126,"Yearling Chinook",10.0986541049798,136.743666666667
2000,"Est_BON",143,"Coho",13.0303230148048,NA
2001,"Est_BON",144,"Coho",13.8139024390244,NA
2002,"Est_BON",139,"Coho",12.0017227456258,NA
2003,"Est_BON",136,"Coho",12.4623933975241,NA
2004,"Est_BON",126,"Coho",13.848938172043,NA
2005,"Est_BON",129,"Coho",13.6445833333333,NA
2006,"Est_BON",137,"Coho",13.0788844086022,NA
2007,"Est_BON",133,"Coho",13.0571639784946,NA
2008,"Est_BON",139,"Coho",12.1137096774194,NA
2009,"Est_BON",142,"Coho",12.1977956989247,NA
2010,"Est_BON",134,"Coho",12.4241397849462,NA
2011,"Est_BON",134,"Coho",11.4663172043011,99.5283333333333
2012,"Est_BON",139,"Coho",12.285564516129,99.2513333333333
2013,"Est_BON",134,"Coho",13.1988306451613,138.171333333333
2014,"Est_BON",132,"Coho",13.0089650537634,94.887
2015,"Est_BON",129,"Coho",14.5528897849462,93.5696666666667
2016,"Est_BON",123,"Coho",14.3642607526882,108.173666666667
2017,"Est_BON",118,"Coho",12.5058019713262,105.187
2018,"Est_BON",126,"Coho",13.3567741935484,104.555666666667
2019,"Est_BON",130,"Coho",13.2521756756757,108.219
2020,"Est_BON",128,"Coho",13.155531628533,105.646
2021,"Est_BON",128,"Coho",14.361541218638,101.907
2022,"Est_BON",135,"Coho",11.9949460916442,98.0153333333333
2023,"Est_BON",134,"Coho",13.3861826953003,103.092
2024,"Est_BON",129,"Coho",13.4162096774194,101.684666666667
2000,"Est_BON",146,"Sockeye",13.0303230148048,NA
2001,"Est_BON",161,"Sockeye",13.8139024390244,NA
2002,"Est_BON",143,"Sockeye",12.0017227456258,NA
2003,"Est_BON",140,"Sockeye",12.4623933975241,NA
2004,"Est_BON",153,"Sockeye",13.848938172043,NA
2005,"Est_BON",143,"Sockeye",13.6445833333333,NA
2006,"Est_BON",139,"Sockeye",13.0788844086022,NA
2007,"Est_BON",145,"Sockeye",13.0571639784946,NA
2008,"Est_BON",150,"Sockeye",12.1137096774194,NA
2009,"Est_BON",146,"Sockeye",12.1977956989247,NA
2010,"Est_BON",152,"Sockeye",12.4241397849462,NA
2011,"Est_BON",137,"Sockeye",11.4663172043011,99.5283333333333
2012,"Est_BON",135,"Sockeye",12.285564516129,99.2513333333333
2013,"Est_BON",140,"Sockeye",13.1988306451613,138.171333333333
2014,"Est_BON",142,"Sockeye",13.0089650537634,94.887
2015,"Est_BON",142,"Sockeye",14.5528897849462,93.5696666666667
2016,"Est_BON",132,"Sockeye",14.3642607526882,108.173666666667
2017,"Est_BON",135,"Sockeye",12.5058019713262,105.187
2018,"Est_BON",134,"Sockeye",13.3567741935484,104.555666666667
2019,"Est_BON",142,"Sockeye",13.2521756756757,108.219
2020,"Est_BON",144,"Sockeye",13.155531628533,105.646
2021,"Est_BON",139,"Sockeye",14.361541218638,101.907
2022,"Est_BON",146,"Sockeye",11.9949460916442,98.0153333333333
2023,"Est_BON",136,"Sockeye",13.3861826953003,103.092
2024,"Est_BON",145,"Sockeye",13.4162096774194,101.684666666667
2000,"Est_BON",138,"Steelhead",13.0303230148048,NA
2001,"Est_BON",139,"Steelhead",13.8139024390244,NA
2002,"Est_BON",147,"Steelhead",12.0017227456258,NA
2003,"Est_BON",149,"Steelhead",12.4623933975241,NA
2004,"Est_BON",137,"Steelhead",13.848938172043,NA
2005,"Est_BON",133,"Steelhead",13.6445833333333,NA
2006,"Est_BON",128,"Steelhead",13.0788844086022,NA
2007,"Est_BON",136,"Steelhead",13.0571639784946,NA
2008,"Est_BON",134,"Steelhead",12.1137096774194,NA
2009,"Est_BON",133,"Steelhead",12.1977956989247,NA
2010,"Est_BON",137,"Steelhead",12.4241397849462,NA
2011,"Est_BON",133,"Steelhead",11.4663172043011,99.5283333333333
2012,"Est_BON",131,"Steelhead",12.285564516129,99.2513333333333
2013,"Est_BON",130,"Steelhead",13.1988306451613,138.171333333333
2014,"Est_BON",129,"Steelhead",13.0089650537634,94.887
2015,"Est_BON",131,"Steelhead",14.5528897849462,93.5696666666667
2016,"Est_BON",126,"Steelhead",14.3642607526882,108.173666666667
2017,"Est_BON",126,"Steelhead",12.5058019713262,105.187
2018,"Est_BON",124,"Steelhead",13.3567741935484,104.555666666667
2019,"Est_BON",125,"Steelhead",13.2521756756757,108.219
2020,"Est_BON",129,"Steelhead",13.155531628533,105.646
2021,"Est_BON",127,"Steelhead",14.361541218638,101.907
2022,"Est_BON",138,"Steelhead",11.9949460916442,98.0153333333333
2023,"Est_BON",130,"Steelhead",13.3861826953003,103.092
2024,"Est_BON",128,"Steelhead",13.4162096774194,101.684666666667
2000,"Est_BON",113,"Subyearling Chinook",13.0303230148048,NA
2001,"Est_BON",178,"Subyearling Chinook",13.8139024390244,NA
2002,"Est_BON",180,"Subyearling Chinook",12.0017227456258,NA
2003,"Est_BON",179,"Subyearling Chinook",12.4623933975241,NA
2004,"Est_BON",166,"Subyearling Chinook",13.848938172043,NA
2005,"Est_BON",160,"Subyearling Chinook",13.6445833333333,NA
2006,"Est_BON",166,"Subyearling Chinook",13.0788844086022,NA
2007,"Est_BON",126,"Subyearling Chinook",13.0571639784946,NA
2008,"Est_BON",127,"Subyearling Chinook",12.1137096774194,NA
2009,"Est_BON",168,"Subyearling Chinook",12.1977956989247,NA
2010,"Est_BON",176,"Subyearling Chinook",12.4241397849462,NA
2011,"Est_BON",131,"Subyearling Chinook",11.4663172043011,99.5283333333333
2012,"Est_BON",177,"Subyearling Chinook",12.285564516129,99.2513333333333
2013,"Est_BON",180,"Subyearling Chinook",13.1988306451613,138.171333333333
2014,"Est_BON",180,"Subyearling Chinook",13.0089650537634,94.887
2015,"Est_BON",119,"Subyearling Chinook",14.5528897849462,93.5696666666667
2016,"Est_BON",132,"Subyearling Chinook",14.3642607526882,108.173666666667
2017,"Est_BON",177,"Subyearling Chinook",12.5058019713262,105.187
2018,"Est_BON",156,"Subyearling Chinook",13.3567741935484,104.555666666667
2019,"Est_BON",128,"Subyearling Chinook",13.2521756756757,108.219
2020,"Est_BON",142,"Subyearling Chinook",13.155531628533,105.646
2021,"Est_BON",114,"Subyearling Chinook",14.361541218638,101.907
2022,"Est_BON",190,"Subyearling Chinook",11.9949460916442,98.0153333333333
2023,"Est_BON",114,"Subyearling Chinook",13.3861826953003,103.092
2024,"Est_BON",187,"Subyearling Chinook",13.4162096774194,101.684666666667
2000,"Est_BON",138,"Yearling Chinook",13.0303230148048,NA
2001,"Est_BON",131,"Yearling Chinook",13.8139024390244,NA
2002,"Est_BON",138,"Yearling Chinook",12.0017227456258,NA
2003,"Est_BON",134,"Yearling Chinook",12.4623933975241,NA
2004,"Est_BON",125,"Yearling Chinook",13.848938172043,NA
2005,"Est_BON",127,"Yearling Chinook",13.6445833333333,NA
2006,"Est_BON",129,"Yearling Chinook",13.0788844086022,NA
2007,"Est_BON",131,"Yearling Chinook",13.0571639784946,NA
2008,"Est_BON",133,"Yearling Chinook",12.1137096774194,NA
2009,"Est_BON",136,"Yearling Chinook",12.1977956989247,NA
2010,"Est_BON",133,"Yearling Chinook",12.4241397849462,NA
2011,"Est_BON",130,"Yearling Chinook",11.4663172043011,99.5283333333333
2012,"Est_BON",133,"Yearling Chinook",12.285564516129,99.2513333333333
2013,"Est_BON",132,"Yearling Chinook",13.1988306451613,138.171333333333
2014,"Est_BON",129,"Yearling Chinook",13.0089650537634,94.887
2015,"Est_BON",128,"Yearling Chinook",14.5528897849462,93.5696666666667
2016,"Est_BON",123,"Yearling Chinook",14.3642607526882,108.173666666667
2017,"Est_BON",125,"Yearling Chinook",12.5058019713262,105.187
2018,"Est_BON",124,"Yearling Chinook",13.3567741935484,104.555666666667
2019,"Est_BON",127,"Yearling Chinook",13.2521756756757,108.219
2020,"Est_BON",128,"Yearling Chinook",13.155531628533,105.646
2021,"Est_BON",128,"Yearling Chinook",14.361541218638,101.907
2022,"Est_BON",135,"Yearling Chinook",11.9949460916442,98.0153333333333
2023,"Est_BON",132,"Yearling Chinook",13.3861826953003,103.092
2024,"Est_BON",125,"Yearling Chinook",13.4162096774194,101.684666666667
