"Year","Dam","MedianPassage","Species","MeanMayTemp","arr_GAM_mean"
2014,"Bonneville",180,"Subyearling Chinook",13.0089650537634,91.6543333333333
2015,"Bonneville",119,"Subyearling Chinook",14.5528897849462,121.523666666667
2016,"Bonneville",132,"Subyearling Chinook",14.3642607526882,101.628
2017,"Bonneville",177,"Subyearling Chinook",12.5058019713262,133.529
2018,"Bonneville",156,"Subyearling Chinook",13.3567741935484,118.347333333333
2019,"Bonneville",128,"Subyearling Chinook",13.2521756756757,153.097333333333
2020,"Bonneville",142,"Subyearling Chinook",13.155531628533,140.797
2021,"Bonneville",114,"Subyearling Chinook",14.361541218638,86.9293333333333
2022,"Bonneville",190,"Subyearling Chinook",11.9949460916442,104.883
2023,"Bonneville",114,"Subyearling Chinook",13.3861826953003,105.231333333333
2024,"Bonneville",187,"Subyearling Chinook",13.4162096774194,NA
2000,"Bonneville",138,"Yearling Chinook",13.0303230148048,NA
2001,"Bonneville",131,"Yearling Chinook",13.8139024390244,NA
2002,"Bonneville",138,"Yearling Chinook",12.0017227456258,NA
2003,"Bonneville",134,"Yearling Chinook",12.4623933975241,NA
2004,"Bonneville",125,"Yearling Chinook",13.848938172043,NA
2005,"Bonneville",127,"Yearling Chinook",13.6445833333333,NA
2006,"Bonneville",129,"Yearling Chinook",13.0788844086022,NA
2007,"Bonneville",131,"Yearling Chinook",13.0571639784946,NA
2008,"Bonneville",133,"Yearling Chinook",12.1137096774194,NA
2009,"Bonneville",136,"Yearling Chinook",12.1977956989247,NA
2010,"Bonneville",133,"Yearling Chinook",12.4241397849462,NA
2011,"Bonneville",130,"Yearling Chinook",11.4663172043011,NA
2012,"Bonneville",133,"Yearling Chinook",12.285564516129,NA
2013,"Bonneville",132,"Yearling Chinook",13.1988306451613,82.682
2014,"Bonneville",129,"Yearling Chinook",13.0089650537634,91.6543333333333
2015,"Bonneville",128,"Yearling Chinook",14.5528897849462,121.523666666667
2016,"Bonneville",123,"Yearling Chinook",14.3642607526882,101.628
2017,"Bonneville",125,"Yearling Chinook",12.5058019713262,133.529
2018,"Bonneville",124,"Yearling Chinook",13.3567741935484,118.347333333333
